Year,Cause of Death,State,Age Range,Benchmark,Locality,Observed Deaths,Population,Expected Deaths,Potentially Excess Deaths,Percent Potentially Excess Deaths
2005,Cancer,AL,0-79,2005 Fixed,All,7350,4417653,5241,2110,28.7
2005,Cancer,AL,0-79,2005 Fixed,Metropolitan,5293,3304507,3796,1498,28.3
2005,Cancer,AL,0-79,2005 Fixed,Nonmetropolitan,2057,1113146,1444,613,29.8
2005,Chronic Lower Respiratory Disease,AL,0-79,2005 Fixed,All,1493,4417653,779,714,47.8
2005,Chronic Lower Respiratory Disease,AL,0-79,2005 Fixed,Metropolitan,1013,3304507,561,452,44.6
2005,Chronic Lower Respiratory Disease,AL,0-79,2005 Fixed,Nonmetropolitan,480,1113146,218,262,54.6
2005,Heart Disease,AL,0-79,2005 Fixed,All,6852,4417653,3292,3560,52
2005,Heart Disease,AL,0-79,2005 Fixed,Metropolitan,4693,3304507,2385,2308,49.2
2005,Heart Disease,AL,0-79,2005 Fixed,Nonmetropolitan,2159,1113146,908,1251,57.9
2005,Stroke,AL,0-79,2005 Fixed,All,1447,4417653,647,800,55.3
2005,Stroke,AL,0-79,2005 Fixed,Metropolitan,1024,3304507,468,556,54.3
2005,Stroke,AL,0-79,2005 Fixed,Nonmetropolitan,423,1113146,180,243,57.4
2005,Unintentional Injury,AL,0-79,2005 Fixed,All,2038,4417653,824,1214,59.6
2005,Unintentional Injury,AL,0-79,2005 Fixed,Metropolitan,1423,3304507,614,809,56.9
2005,Unintentional Injury,AL,0-79,2005 Fixed,Nonmetropolitan,615,1113146,210,405,65.9
2005,Cancer,AK,0-79,2005 Fixed,All,592,658196,541,51,8.6
2005,Cancer,AK,0-79,2005 Fixed,Metropolitan,393,435729,342,52,13.2
2005,Cancer,AK,0-79,2005 Fixed,Nonmetropolitan,199,222467,200,15,7.5
2005,Chronic Lower Respiratory Disease,AK,0-79,2005 Fixed,All,111,658196,70,41,36.9
2005,Chronic Lower Respiratory Disease,AK,0-79,2005 Fixed,Metropolitan,57,435729,44,15,26.3
2005,Chronic Lower Respiratory Disease,AK,0-79,2005 Fixed,Nonmetropolitan,54,222467,26,28,51.9
2005,Heart Disease,AK,0-79,2005 Fixed,All,419,658196,332,87,20.8
2005,Heart Disease,AK,0-79,2005 Fixed,Metropolitan,278,435729,210,68,24.5
2005,Heart Disease,AK,0-79,2005 Fixed,Nonmetropolitan,141,222467,122,23,16.3
2005,Stroke,AK,0-79,2005 Fixed,All,91,658196,61,30,33
2005,Stroke,AK,0-79,2005 Fixed,Metropolitan,54,435729,39,16,29.6
2005,Stroke,AK,0-79,2005 Fixed,Nonmetropolitan,37,222467,23,14,37.8
2005,Unintentional Injury,AK,0-79,2005 Fixed,All,298,658196,115,183,61.4
2005,Unintentional Injury,AK,0-79,2005 Fixed,Metropolitan,159,435729,76,84,52.8
2005,Unintentional Injury,AK,0-79,2005 Fixed,Nonmetropolitan,139,222467,39,100,71.9
2005,Cancer,AZ,0-79,2005 Fixed,All,6970,5646271,6444,528,7.6
2005,Cancer,AZ,0-79,2005 Fixed,Metropolitan,6575,5327546,6046,529,8
2005,Cancer,AZ,0-79,2005 Fixed,Nonmetropolitan,395,318725,397,25,6.3
2005,Chronic Lower Respiratory Disease,AZ,0-79,2005 Fixed,All,1603,5646271,971,632,39.4
2005,Chronic Lower Respiratory Disease,AZ,0-79,2005 Fixed,Metropolitan,1509,5327546,910,599,39.7
2005,Chronic Lower Respiratory Disease,AZ,0-79,2005 Fixed,Nonmetropolitan,94,318725,60,34,36.2
2005,Heart Disease,AZ,0-79,2005 Fixed,All,5325,5646271,4059,1266,23.8
2005,Heart Disease,AZ,0-79,2005 Fixed,Metropolitan,4999,5327546,3810,1189,23.8
2005,Heart Disease,AZ,0-79,2005 Fixed,Nonmetropolitan,326,318725,249,77,23.6
2005,Stroke,AZ,0-79,2005 Fixed,All,962,5646271,807,155,16.1
2005,Stroke,AZ,0-79,2005 Fixed,Metropolitan,890,5327546,757,133,14.9
2005,Stroke,AZ,0-79,2005 Fixed,Nonmetropolitan,72,318725,50,22,30.6
2005,Unintentional Injury,AZ,0-79,2005 Fixed,All,2536,5646271,1034,1502,59.2
2005,Unintentional Injury,AZ,0-79,2005 Fixed,Metropolitan,2267,5327546,976,1291,56.9
2005,Unintentional Injury,AZ,0-79,2005 Fixed,Nonmetropolitan,269,318725,58,211,78.4
2005,Cancer,AR,0-79,2005 Fixed,All,4690,2678828,3240,1450,30.9
2005,Cancer,AR,0-79,2005 Fixed,Metropolitan,2501,1572923,1725,776,31
2005,Cancer,AR,0-79,2005 Fixed,Nonmetropolitan,2189,1105905,1515,674,30.8
2005,Chronic Lower Respiratory Disease,AR,0-79,2005 Fixed,All,991,2678828,486,505,51
2005,Chronic Lower Respiratory Disease,AR,0-79,2005 Fixed,Metropolitan,469,1572923,254,215,45.8
2005,Chronic Lower Respiratory Disease,AR,0-79,2005 Fixed,Nonmetropolitan,522,1105905,232,290,55.6
2005,Heart Disease,AR,0-79,2005 Fixed,All,3825,2678828,2036,1789,46.8
2005,Heart Disease,AR,0-79,2005 Fixed,Metropolitan,1951,1572923,1082,869,44.5
2005,Heart Disease,AR,0-79,2005 Fixed,Nonmetropolitan,1874,1105905,955,919,49
2005,Stroke,AR,0-79,2005 Fixed,All,785,2678828,403,382,48.7
2005,Stroke,AR,0-79,2005 Fixed,Metropolitan,393,1572923,212,181,46.1
2005,Stroke,AR,0-79,2005 Fixed,Nonmetropolitan,392,1105905,190,202,51.5
2005,Unintentional Injury,AR,0-79,2005 Fixed,All,1133,2678828,499,634,56
2005,Unintentional Injury,AR,0-79,2005 Fixed,Metropolitan,578,1572923,288,290,50.2
2005,Unintentional Injury,AR,0-79,2005 Fixed,Nonmetropolitan,555,1105905,211,344,62
2005,Cancer,CA,0-79,2005 Fixed,All,37926,34733349,34056,3870,10.2
