State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,2849,1027,2793,2756,2779,2600,3295,2418,2333,2154,117
Alaska,102,2770,174,179,161,134,2591,111,179,138,2074
Arizona,1238,156,1014,732,619,740,145,557,492,305,287
Arkansas,1923,1069,1783,1862,1780,1654,510,1614,1699,1520,1576
California,8000,1649,6754,5321,5160,4493,1626,2975,1686,975,600
Colorado,618,6863,382,341,358,263,103,59,21,14,2
Connecticut,1140,583,886,771,754,731,590,324,231,172,213
Delaware,483,1128,460,467,380,419,397,320,276,279,253
"District of
Columbia",325,449,328,328,263,199,236,214,245,243,180
Florida,7371,362,5830,5808,5386,5335,4659,4045,3861,3264,3354
Georgia,3699,6791,3434,2820,2973,3001,2863,2818,2742,2560,2367
Hawaii,165,3427,115,73,100,86,118,62,76,108,80
Idaho,379,174,304,357,239,266,232,170,220,194,149
Illinois,5732,275,5352,5123,4926,4466,4185,4283,3900,3492,3484
Indiana,3493,5414,3162,3303,3148,3107,2888,2944,2754,2800,2555
Iowa,1305,3413,1081,1155,949,954,1033,914,887,840,820
Kansas,1214,1165,1000,879,893,837,854,823,655,760,720
Kentucky,3240,2944,3119,3008,2910,3097,2823,2874,2849,2905,2802
Louisiana,2830,2668,2412,2701,2635,2565,2431,2404,2373,2268,2112
Maine,863,757,699,654,619,741,619,575,486,459,569
Maryland,2522,2287,2015,2040,1888,1660,1393,1464,1292,1231,917
Massachusetts,2756,2793,2359,2212,2159,1901,1598,1427,1121,865,702
Michigan,5000,4840,4599,4420,4253,4263,3832,3611,3294,3602,3039
Minnesota,1225,1363,1239,1374,1283,1198,939,709,724,494,557
Mississippi,1890,2007,1767,1901,1724,1797,1789,1905,1841,1783,1564
Missouri,3340,3213,2985,2994,2823,2829,2529,2687,2605,2562,2318
Montana,404,359,256,212,224,203,245,173,176,182,173
Nebraska,557,572,583,480,473,473,392,441,365,349,299
Nevada,1002,874,911,840,787,779,685,588,597,600,428
New Hampshire,565,508,546,456,428,358,436,359,236,252,305
New Jersey,3479,3438,3142,2735,2308,2222,2225,1654,1169,1159,749
New Mexico,361,294,301,326,135,206,109,152,119,84,113
New York,6020,5610,5625,5054,4530,4213,3809,3692,3060,2190,1375
North Carolina,4230,4338,4078,3734,3539,3705,3461,3176,2881,3214,2714
North Dakota,170,269,139,209,115,104,124,79,98,110,115
Ohio,6486,6540,6473,5992,6008,5619,5454,5250,4781,4873,4524
Oklahoma,2087,1991,2146,2014,1910,1957,2017,1967,1903,1739,1855
Oregon,1560,1374,1344,1260,1137,1244,1192,1068,907,822,810
Pennsylvania,7118,6590,6142,5894,5756,5513,5074,4834,4232,4156,3764
Rhode Island,477,428,401,414,374,414,294,223,365,279,249
South Carolina,2335,2419,2248,2298,2061,2132,2056,2028,1797,1736,1499
South Dakota,338,232,231,218,139,233,218,180,128,184,119
Tennessee,4119,3880,3875,3628,3797,3638,3407,3358,3355,3274,3129
Texas,6932,6791,6252,5919,5074,12,4943,4710,4048,3387,2647
Utah,46,46,36,4,3,5322,22,5,14,11,14
Vermont,205,194,303,211,171,265,228,177,145,187,195
Virginia,3375,3101,2990,2789,2634,2339,2321,1971,1736,1716,1480
Washington,2090,1852,2071,1889,1911,1733,1434,1271,886,876,978
West Virginia,1366,1359,1358,1257,1362,1260,1318,1166,1155,1286,1151
Wisconsin,2156,2035,1890,1950,1464,1877,1926,1412,1371,1203,1026
Wyoming,148,165,152,82,112,158,76,77,42,38,3
ImmutableMultiDict([('State', 'Alabama'), ('phrase', 'acugvutnli'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15|{'i', 'a', 'u'}
ImmutableMultiDict([('phrase', 'acyi'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15|{'i', 'a'}
